wavelengths, sensitivities
360, 0.0
370, 0.0
380, 0.0
390, 0.0
400, 0.0
410, 0.0
420, 0.0
430, 0.0
440, 0.0
450, 0.0
460, 0.0
470, 0.0
480, 0.0
490, 0.0
500, 0.0
510, 0.14724910754075005
520, 0.23959870465555788
530, 0.27300190828387194
540, 0.24395452530312234
550, 0.3431548809008804
560, 0.5068340982704935
570, 0.7408726864083346
580, 1.3107114090841576
590, 1.8134491725384434
600, 2.099715912656236
610, 2.2221253275321153
620, 2.3637411303537466
630, 2.413046690585908
640, 2.46751999951766
650, 2.4855552683829454
660, 2.4018696643007442
670, 1.8906022266813318
680, 0.96124360622367
690, 0.26924095550099647
700, 0.0
710, 0.0
720, 0.0
730, 0.0
740, 0.0
750, 0.0
760, 0.0
